Credit,Date,Average Price,Closing Value
California LCFS Credit,5/18/2022,$104.00 ,$104.00 
Oregon CFP Credit,5/18/2022,$118.50 ,$118.50 
California LCFS Credit,5/17/2022,$110.00 ,$110.00 
Oregon CFP Credit,5/17/2022,$119.50 ,$119.50 
California LCFS Credit,5/16/2022,$110.00 ,$110.00 
Oregon CFP Credit,5/16/2022,$119.50 ,$119.50 
California LCFS Credit,5/13/2022,$111.50 ,$111.50 
Oregon CFP Credit,5/13/2022,$119.50 ,$119.50 
California LCFS Credit,5/12/2022,$121.00 ,$120.50 
Oregon CFP Credit,5/12/2022,$120.50 ,$120.50 
Oregon CFP Credit,5/11/2022,$120.50 ,$120.50 
California LCFS Credit,5/11/2022,$121.00 ,$120.50 
Oregon CFP Credit,5/10/2022,$120.50 ,$120.50 
California LCFS Credit,5/10/2022,$121.00 ,$121.50 
Oregon CFP Credit,5/9/2022,$120.00 ,$120.00 
California LCFS Credit,5/9/2022,$116.75 ,$116.75 
Oregon CFP Credit,5/6/2022,$120.00 ,$120.00 
California LCFS Credit,5/6/2022,$117.00 ,$117.00 
Oregon CFP Credit,5/5/2022,$120.00 ,$120.00 
California LCFS Credit,5/5/2022,$116.00 ,$115.50 
California LCFS Credit,5/4/2022,$110.50 ,$110.50 
Oregon CFP Credit,5/4/2022,$120.00 ,$120.00 
Oregon CFP Credit,5/3/2022,$119.50 ,$119.50 
California LCFS Credit,5/3/2022,$107.50 ,$107.50 
Oregon CFP Credit,4/29/2022,$120.00 ,$120.00 
California LCFS Credit,4/29/2022,$110.50 ,$110.50 
Oregon CFP Credit,4/28/2022,$121.00 ,$121.00 
California LCFS Credit,4/28/2022,$113.00 ,$113.00 
Oregon CFP Credit,4/27/2022,$121.00 ,$121.00 
California LCFS Credit,4/27/2022,$114.00 ,$114.00 
California LCFS Credit,4/26/2022,$115.50 ,$115.50 
Oregon CFP Credit,4/26/2022,$121.00 ,$121.00 
Oregon CFP Credit,4/25/2022,$121.00 ,$121.00 
California LCFS Credit,4/25/2022,$115.50 ,$115.50 
Oregon CFP Credit,4/22/2022,$121.00 ,$121.00 
California LCFS Credit,4/22/2022,$116.00 ,$116.00 
Oregon CFP Credit,4/21/2022,$121.00 ,$121.00 
California LCFS Credit,4/21/2022,$114.50 ,$114.50 
Oregon CFP Credit,4/20/2022,$121.00 ,$121.00 
California LCFS Credit,4/20/2022,$115.00 ,$114.50 
Oregon CFP Credit,4/19/2022,$120.00 ,$120.00 
California LCFS Credit,4/19/2022,$113.00 ,$114.00 
California LCFS Credit,4/14/2022,$113.00 ,$113.00 
Oregon CFP Credit,4/14/2022,$122.00 ,$122.00 
Oregon CFP Credit,4/12/2022,$122.00 ,$122.00 
California LCFS Credit,4/12/2022,$115.00 ,$115.00 
Oregon CFP Credit,4/11/2022,$122.00 ,$122.00 
California LCFS Credit,4/11/2022,$116.00 ,$116.00 
Oregon CFP Credit,4/8/2022,$119.00 ,$119.00 
California LCFS Credit,4/8/2022,$119.50 ,$119.50 
Oregon CFP Credit,4/7/2022,$120.00 ,$120.00 
California LCFS Credit,4/7/2022,$120.00 ,$120.00 
California LCFS Credit,4/6/2022,$122.00 ,$122.00 
Oregon CFP Credit,4/6/2022,$121.00 ,$121.00 
Oregon CFP Credit,4/5/2022,$121.00 ,$121.00 
California LCFS Credit,4/5/2022,$123.75 ,$123.75 
Oregon CFP Credit,4/4/2022,$118.50 ,$118.50 
California LCFS Credit,4/4/2022,$122.00 ,$122.00 
California LCFS Credit,4/1/2022,$121.00 ,$121.00 
Oregon CFP Credit,4/1/2022,$119.00 ,$119.00 
California LCFS Credit,3/31/2022,$121.50 ,$121.00 
Oregon CFP Credit,3/31/2022,$120.00 ,$120.00 
California LCFS Credit,3/30/2022,$121.00 ,$121.00 
Oregon CFP Credit,3/30/2022,$118.00 ,$118.00 
California LCFS Credit,3/29/2022,$121.50 ,$122.00 
Oregon CFP Credit,3/29/2022,$120.00 ,$120.00 
California LCFS Credit,3/24/2022,$112.00 ,$112.00 
Oregon CFP Credit,3/24/2022,$120.00 ,$120.00 
California LCFS Credit,3/23/2022,$116.00 ,$116.00 
Oregon CFP Credit,3/23/2022,$121.50 ,$121.50 
California LCFS Credit,3/22/2022,$117.00 ,$117.50 
Oregon CFP Credit,3/22/2022,$121.50 ,$121.50 
Oregon CFP Credit,3/18/2022,$123.00 ,$123.00 
California LCFS Credit,3/18/2022,$118.00 ,$120.00 
California LCFS Credit,3/17/2022,$124.50 ,$125.50 
Oregon CFP Credit,3/17/2022,$123.00 ,$123.00 
California LCFS Credit,3/16/2022,$124.00 ,$125.00 
Oregon CFP Credit,3/16/2022,$124.00 ,$124.00 
California LCFS Credit,3/15/2022,$125.75 ,$125.75 
Oregon CFP Credit,3/15/2022,$124.00 ,$124.00 
California LCFS Credit,3/14/2022,$127.00 ,$127.00 
Oregon CFP Credit,3/14/2022,$124.00 ,$124.00 
California LCFS Credit,3/9/2022,$130.00 ,$130.00 
Oregon CFP Credit,3/9/2022,$124.00 ,$124.00 
Oregon CFP Credit,3/8/2022,$124.00 ,$124.00 
California LCFS Credit,3/8/2022,$131.00 ,$131.00 
Oregon CFP Credit,3/7/2022,$125.00 ,$125.00 
California LCFS Credit,3/7/2022,$132.00 ,$132.00 
Oregon CFP Credit,3/4/2022,$125.00 ,$125.00 
California LCFS Credit,3/4/2022,$134.00 ,$134.00 
Oregon CFP Credit,3/3/2022,$125.00 ,$125.00 
California LCFS Credit,3/3/2022,$136.50 ,$136.50 
Oregon CFP Credit,3/2/2022,$126.00 ,$126.00 
California LCFS Credit,3/2/2022,$136.00 ,$136.00 
Oregon CFP Credit,3/1/2022,$126.00 ,$126.00 
California LCFS Credit,3/1/2022,$136.00 ,$137.00 
Oregon CFP Credit,2/28/2022,$126.00 ,$126.00 
California LCFS Credit,2/28/2022,$137.00 ,$137.00 
Oregon CFP Credit,2/25/2022,$126.00 ,$126.00 
California LCFS Credit,2/25/2022,$138.50 ,$138.50 
California LCFS Credit,2/10/2022,$140.00 ,$140.00 
Oregon CFP Credit,2/10/2022,$126.00 ,$126.00 
Oregon CFP Credit,2/9/2022,$126.00 ,$126.00 
California LCFS Credit,2/9/2022,$139.00 ,$139.00 
Oregon CFP Credit,2/8/2022,$126.00 ,$126.00 
California LCFS Credit,2/8/2022,$140.00 ,$140.00 
Oregon CFP Credit,2/7/2022,$126.00 ,$126.00 
California LCFS Credit,2/7/2022,$143.00 ,$143.00 
Oregon CFP Credit,2/4/2022,$126.00 ,$126.00 
California LCFS Credit,2/4/2022,$144.00 ,$144.00 
California LCFS Credit,2/3/2022,$143.50 ,$144.00 
Oregon CFP Credit,2/3/2022,$124.00 ,$124.00 
Oregon CFP Credit,2/2/2022,$124.00 ,$124.00 
California LCFS Credit,2/2/2022,$144.00 ,$140.50 
Oregon CFP Credit,2/1/2022,$124.00 ,$124.00 
California LCFS Credit,2/1/2022,$140.52 ,$140.50 
Oregon CFP Credit,1/31/2022,$124.00 ,$124.00 
California LCFS Credit,1/31/2022,$142.50 ,$142.50 
California LCFS Credit,1/27/2022,$148.00 ,$148.00 
Oregon CFP Credit,1/27/2022,$124.00 ,$124.00 
Oregon CFP Credit,1/26/2022,$124.00 ,$124.00 
Oregon CFP Credit,1/26/2022,$124.00 ,$124.00 
California LCFS Credit,1/26/2022,$145.74 ,$148.50 
