DCode,Date,Average Price-2020,Average Price-2021,Average Price-2022,Closing Value-2020,Closing Value-2021,Closing Value-2022
D6,6/15/2022,$1.53 ,$1.55 ,$1.54 ,$1.53 ,$1.54 ,$1.53 
D5,6/15/2022,$1.73 ,$1.74 ,$1.61 ,$1.73 ,$1.74 ,$1.61 
D4,6/15/2022,$1.75 ,$1.76 ,$1.63 ,$1.75 ,$1.76 ,$1.63 
D3,6/15/2022,$3.05 ,$3.07 ,$2.75 ,$3.05 ,$3.07 ,$2.77 
D6,6/14/2022,$1.53 ,$1.55 ,$1.54 ,$1.53 ,$1.55 ,$1.54 
D5,6/14/2022,$1.75 ,$1.77 ,$1.63 ,$1.75 ,$1.77 ,$1.63 
D4,6/14/2022,$1.77 ,$1.78 ,$1.65 ,$1.77 ,$1.78 ,$1.65 
D3,6/14/2022,$3.03 ,$3.02 ,$2.74 ,$3.03 ,$3.05 ,$2.75 
D6,6/13/2022,$1.54 ,$1.52 ,$1.53 ,$1.54 ,$1.55 ,$1.54 
D5,6/13/2022,$1.75 ,$1.77 ,$1.65 ,$1.75 ,$1.77 ,$1.65 
D4,6/13/2022,$1.77 ,$1.79 ,$1.66 ,$1.77 ,$1.79 ,$1.67 
D3,6/13/2022,$3.01 ,$3.03 ,$2.72 ,$3.01 ,$3.03 ,$2.73 
D6,6/10/2022,$1.52 ,$1.54 ,$1.54 ,$1.53 ,$1.54 ,$1.53 
D5,6/10/2022,$1.75 ,$1.77 ,$1.65 ,$1.75 ,$1.77 ,$1.65 
D4,6/10/2022,$1.77 ,$1.79 ,$1.67 ,$1.77 ,$1.79 ,$1.67 
D3,6/10/2022,$3.04 ,$3.07 ,$2.76 ,$3.04 ,$3.06 ,$2.77 
D6,6/9/2022,$1.57 ,$1.58 ,$1.58 ,$1.57 ,$1.58 ,$1.57 
D5,6/9/2022,$1.80 ,$1.81 ,$1.69 ,$1.80 ,$1.81 ,$1.69 
D4,6/9/2022,$1.82 ,$1.83 ,$1.70 ,$1.82 ,$1.83 ,$1.71 
D3,6/9/2022,$3.02 ,$3.04 ,$2.87 ,$3.02 ,$3.04 ,$2.78 
D6,6/8/2022,$1.65 ,$1.68 ,$1.67 ,$1.65 ,$1.66 ,$1.65 
D5,6/8/2022,$1.87 ,$1.87 ,$1.75 ,$1.87 ,$1.87 ,$1.75 
D4,6/8/2022,$1.88 ,$1.90 ,$1.77 ,$1.88 ,$1.89 ,$1.77 
D3,6/8/2022,$3.01 ,$3.05 ,$2.84 ,$3.01 ,$3.03 ,$2.83 
D6,6/7/2022,$1.67 ,$1.68 ,$1.67 ,$1.67 ,$1.68 ,$1.67 
D5,6/7/2022,$1.89 ,$1.90 ,$1.76 ,$1.89 ,$1.90 ,$1.76 
D4,6/7/2022,$1.91 ,$1.92 ,$1.77 ,$1.91 ,$1.92 ,$1.78 
D3,6/7/2022,$3.08 ,$3.10 ,$3.03 ,$3.08 ,$3.10 ,$2.90 
D4,6/6/2022,$1.99 ,$2.01 ,$1.78 ,$1.99 ,$2.01 ,$1.77 
D3,6/6/2022,$3.13 ,$3.15 ,$3.08 ,$3.13 ,$3.15 ,$3.08 
D6,6/6/2022,$1.65 ,$1.66 ,$1.64 ,$1.65 ,$1.66 ,$1.65 
D5,6/6/2022,$1.98 ,$2.00 ,$1.75 ,$1.98 ,$2.00 ,$1.75 
D6,6/3/2022,$1.59 ,$1.60 ,$1.60 ,$1.59 ,$1.60 ,$1.60 
D5,6/3/2022,$1.98 ,$2.01 ,$1.74 ,$1.98 ,$2.01 ,$1.74 
D4,6/3/2022,$2.00 ,$2.02 ,$1.76 ,$2.00 ,$2.02 ,$1.76 
D3,6/3/2022,$3.39 ,$3.42 ,$3.18 ,$3.39 ,$3.42 ,$3.18 
D6,6/2/2022,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 ,$1.60 
D5,6/2/2022,$1.97 ,$2.00 ,$1.73 ,$1.97 ,$2.00 ,$1.73 
D4,6/2/2022,$1.99 ,$2.01 ,$1.74 ,$1.99 ,$2.01 ,$1.74 
D3,6/2/2022,$3.77 ,$3.79 ,$3.64 ,$3.77 ,$3.79 ,$3.64 
D4,6/1/2022,$1.64 ,$1.90 ,$1.62 ,$1.64 ,$1.90 ,$1.63 
D6,6/1/2022,$1.45 ,$1.36 ,$1.36 ,$1.46 ,$1.36 ,$1.36 
D5,6/1/2022,$1.63 ,$1.89 ,$1.61 ,$1.63 ,$1.89 ,$1.61 
D3,6/1/2022,$3.45 ,$3.61 ,$3.46 ,$3.45 ,$3.61 ,$3.46 
D3,5/31/2022,$3.59 ,$3.61 ,$3.46 ,$3.59 ,$3.61 ,$3.46 
D4,5/31/2022,$1.88 ,$1.90 ,$1.62 ,$1.88 ,$1.90 ,$1.63 
D5,5/31/2022,$1.87 ,$1.89 ,$1.61 ,$1.88 ,$1.89 ,$1.61 
D6,5/31/2022,$1.36 ,$1.36 ,$1.36 ,$1.36 ,$1.36 ,$1.36 
D5,5/26/2022,$1.94 ,$1.96 ,$1.69 ,$1.94 ,$1.96 ,$1.69 
D3,5/26/2022,$3.60 ,$3.62 ,$3.48 ,$3.60 ,$3.62 ,$3.48 
D4,5/26/2022,$1.96 ,$1.98 ,$1.70 ,$1.96 ,$1.98 ,$1.70 
D6,5/26/2022,$1.39 ,$1.40 ,$1.39 ,$1.39 ,$1.40 ,$1.40 
D5,5/25/2022,$1.98 ,$2.00 ,$1.73 ,$1.98 ,$2.00 ,$1.73 
D4,5/25/2022,$2.00 ,$2.02 ,$1.73 ,$2.00 ,$2.02 ,$1.75 
D3,5/25/2022,$3.60 ,$3.62 ,$3.48 ,$3.60 , $$3.620,$3.48 
D6,5/25/2022,$1.41 ,$1.42 ,$1.45 ,$1.41 ,$1.42 ,$1.42 
D3,5/24/2022,$3.61 ,$3.63 ,$3.48 ,$3.61 ,$3.63 ,$3.49 
D4,5/24/2022,$2.06 ,$2.08 ,$1.81 ,$2.06 ,$2.08 ,$1.80 
